genres,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
(no genres listed),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.5,3.0,3.676470588235294
Action,2.730769230769231,3.5384615384615383,0.0,0.0,2.588235294117647,3.0,2.75,3.8333333333333335,2.7,3.357142857142857,2.1666666666666665,2.5833333333333335,3.0,0.0,3.5,4.5,2.625,2.5,0.0,3.1,3.5454545454545454,2.6379310344827585,2.588235294117647
Action|Adventure,3.4545454545454546,4.15,4.2,4.0,3.7384615384615385,3.5,4.304347826086956,3.2777777777777777,4.136363636363637,3.4130434782608696,4.090909090909091,3.6666666666666665,3.65625,3.7142857142857144,3.4375,3.888888888888889,3.9,3.8333333333333335,3.875,3.5609756097560976,3.7222222222222223,3.5277777777777777,3.3974358974358974
Action|Adventure|Animation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.8,3.75,3.375,3.65
Action|Adventure|Animation|Children,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.5,3.6666666666666665,3.8333333333333335,3.5,3.1666666666666665
Action|Adventure|Animation|Children|Comedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.107142857142857,3.8333333333333335,3.8461538461538463,4.125,3.9,4.333333333333333,3.5,3.7857142857142856,4.333333333333333,3.25,3.5652173913043477,3.925,3.676470588235294,3.7419354838709675
Action|Adventure|Animation|Children|Comedy|Fantasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,3.8333333333333335,3.388888888888889,3.7,4.142857142857143
Action|Adventure|Animation|Children|Comedy|IMAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.5,0.0,3.55,5.0,3.5,3.375,3.6666666666666665,1.0,3.7
Action|Adventure|Animation|Children|Comedy|Romance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,2.3333333333333335,1.0,1.0,2.5
Action|Adventure|Animation|Children|Comedy|Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.8,3.5,2.5,0.0,4.0,0.0,0.0,0.0,2.5,4.0,2.0,4.0
Action|Adventure|Animation|Children|Comedy|Sci-Fi|IMAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0
Action|Adventure|Animation|Children|Comedy|Western,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.166666666666667,0.0,0.0,2.875,3.0,3.5,4.166666666666667
Action|Adventure|Animation|Children|Fantasy,0.0,0.0,0.0,4.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Action|Adventure|Animation|Children|Fantasy|Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.6666666666666665,4.0,4.0,4.75,0.0,5.0,3.75,3.5,0.0,3.75,4.5,4.333333333333333,2.8333333333333335
Action|Adventure|Animation|Children|Sci-Fi,0.0,0.0,0.0,0.0,4.0,3.0,3.5,2.5,3.0,3.0833333333333335,4.0,3.0,3.375,0.0,3.5,0.0,4.25,0.0,0.0,0.0,3.0,3.0,0.0
Action|Adventure|Animation|Comedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.6,3.25,3.1,0.0,0.0,0.0,4.0,0.0,4.0,3.125,4.083333333333333,3.5,3.8333333333333335
Action|Adventure|Animation|Comedy|Crime|Mystery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
Action|Adventure|Animation|Comedy|Fantasy|Mystery|Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
